АБСОЛЮТИЗИРОВАТЬ	106501-V	ЗАНЯТИЕ, ДЕЯТЕЛЬНОСТЬ
АБСОЛЮТИЗИРОВАТЬ	141697-V	ПРЕДСТАВИТЬ В ВИДЕ
АБСОЛЮТИЗИРОВАТЬ	7237-V	УПРАВЛЕНЧЕСКАЯ ДЕЯТЕЛЬНОСТЬ
АБСОЛЮТИЗИРОВАТЬ	119125-V	РАСПРОСТРАНИТЬСЯ, ПОЛУЧИТЬ РАСПРОСТРАНЕНИЕ
АБСОЛЮТИЗИРОВАТЬ	149806-V	УТВЕРЖДАТЬ, ДЕЛАТЬ УТВЕРЖДЕНИЕ
АБСОЛЮТИЗИРОВАТЬ	106629-V	ИЗМЕНИТЬСЯ, ИЗМЕНЕНИЕ
АБСОЛЮТИЗИРОВАТЬ	7936-V	РЕФОРМА
АБСОЛЮТИЗИРОВАТЬ	116751-V	ПРИУКРАСИТЬ, ВЫГОДНО ПРЕДСТАВИТЬ
АБСОЛЮТИЗИРОВАТЬ	123550-V	УТОЧНИТЬ, СДЕЛАТЬ ТОЧНЕЕ
АБСОЛЮТИЗИРОВАТЬ	116115-V	ПРЕУВЕЛИЧИТЬ
АКТИВИРОВАТЬ	4661-V	ОЗДОРОВЛЕНИЕ ПРИРОДЫ
АКТИВИРОВАТЬ	6444-V	ЛИКВИДАЦИЯ ЧРЕЗВЫЧАЙНЫХ СИТУАЦИЙ
АКТИВИРОВАТЬ	144157-V	ОЧИСТКА ОТ ВРЕДНЫХ ВЕЩЕСТВ
АКТИВИРОВАТЬ	110474-V	ВЫЗВАТЬ, ПОРОДИТЬ
АКТИВИРОВАТЬ	120784-V	ПОЛУЧИТЬ (ДОБЫТЬ, ПРОИЗВЕСТИ)
АКТИВИРОВАТЬ	116118-V	ОЗДОРОВИТЬ (УЛУЧШИТЬ)
АКТИВИРОВАТЬ	120406-V	ЛИКВИДИРОВАТЬ (УНИЧТОЖАТЬ)
АКТИВИРОВАТЬ	106483-V	УНИЧТОЖИТЬ, ПРЕКРАТИТЬ СУЩЕСТВОВАНИЕ
АКТИВИРОВАТЬ	128431-V	ОБЕЗВРЕДИТЬ
АКТИВИРОВАТЬ	114441-V	ОЧИСТИТЬ ОТ ПРИСУТСТВИЯ
АМЕРИКАНИЗИРОВАТЬ	106501-V	ЗАНЯТИЕ, ДЕЯТЕЛЬНОСТЬ
АМЕРИКАНИЗИРОВАТЬ	129365-V	ПРИБЛИЗИТЬСЯ, УПОДОБИТЬСЯ
АМЕРИКАНИЗИРОВАТЬ	7237-V	УПРАВЛЕНЧЕСКАЯ ДЕЯТЕЛЬНОСТЬ
АМЕРИКАНИЗИРОВАТЬ	116390-V	ИСКАЗИТЬ, ПРЕДСТАВИТЬ В ЛОЖНОМ СВЕТЕ
АМЕРИКАНИЗИРОВАТЬ	106629-V	ИЗМЕНИТЬСЯ, ИЗМЕНЕНИЕ
АМЕРИКАНИЗИРОВАТЬ	116640-V	ПЕРЕСЕЛЕНИЕ НА ДРУГОЕ МЕСТО ЖИТЕЛЬСТВА
АМЕРИКАНИЗИРОВАТЬ	112075-V	СОСРЕДОТОЧИТЬ В ОДНОМ МЕСТЕ
АМЕРИКАНИЗИРОВАТЬ	106607-V	УПРАВЛЯТЬ, РУКОВОДИТЬ
АМЕРИКАНИЗИРОВАТЬ	924-V	АВТОМАТИЗАЦИЯ
АМЕРИКАНИЗИРОВАТЬ	106617-V	СЕЛИТЬСЯ
АНОДИРОВАТЬ	106950-V	ПРЕВРАТИТЬ (ПРИДАТЬ ИНОЙ ВИД, КАЧЕСТВО)
АНОДИРОВАТЬ	106501-V	ЗАНЯТИЕ, ДЕЯТЕЛЬНОСТЬ
АНОДИРОВАТЬ	106631-V	ИЗМЕНИТЬ, СДЕЛАТЬ ИНЫМ
АНОДИРОВАТЬ	106709-V	УЗНАТЬ, ПОЛУЧИТЬ СВЕДЕНИЯ
АНОДИРОВАТЬ	4225-V	ДЕГРАДАЦИЯ ПОЧВ
АНОДИРОВАТЬ	136573-V	РАСКОДИРОВАТЬ (УЗНАТЬ КОД)
АНОДИРОВАТЬ	106632-V	УЛУЧШИТЬ
АНОДИРОВАТЬ	106785-V	ПРЕОБРАЗОВАТЬ, ПЕРЕДЕЛАТЬ
АНОДИРОВАТЬ	106529-V	ОБСЛУЖИТЬ (УДОВЛЕТВОРИТЬ НУЖДЫ)
АНОДИРОВАТЬ	106472-V	ПОМОЩЬ, ПОДДЕРЖКА
БИНТОВАТЬ	111427-V	НАЛОЖИТЬ СВЕРХУ
БИНТОВАТЬ	107325-V	ПОКРЫТЬ ПОВЕРХНОСТЬ
БИНТОВАТЬ	107326-V	КЛАСТЬ НА ПОВЕРХНОСТЬ
БИНТОВАТЬ	115187-V	ОБМОТАТЬ, ОБКРУТИТЬ
БИНТОВАТЬ	116334-V	ОБВЯЗАТЬ (ОБМОТАТЬ И ЗАВЯЗАТЬ)
БИНТОВАТЬ	111467-V	ВЯЗАНИЕ (РУКОДЕЛИЕ)
БИНТОВАТЬ	120969-V	ПЕРЕДЕЛАТЬ, СДЕЛАТЬ ЗАНОВО
БИНТОВАТЬ	112000-V	МОТАТЬ, НАКРУЧИВАТЬ
БИНТОВАТЬ	134618-V	РУКОДЕЛИЕ
БИНТОВАТЬ	111466-V	ПЛЕСТИ ИЗ ПОЛОС, НИТЕЙ
БОДРИТЬСЯ	118574-V	ВНУШИТЬ МЫСЛЬ, ЧУВСТВО
БОДРИТЬСЯ	120955-V	ИЗМЕНЕНИЕ СОСТОЯНИЯ
БОДРИТЬСЯ	125736-V	ОЖИВИТЬСЯ (СТАТЬ ОЖИВЛЕННЫМ)
БОДРИТЬСЯ	107253-V	ВООДУШЕВЛЕНИЕ, ПОДЪЕМ ДУХА
БОДРИТЬСЯ	115900-V	ПРИТВОРИТЬСЯ, ПРИКИНУТЬСЯ
БОДРИТЬСЯ	149898-V	ВЫЗВАТЬ МЫСЛЬ, ЧУВСТВО
БОДРИТЬСЯ	106565-V	САМОЧУВСТВИЕ
БОДРИТЬСЯ	123840-V	ЧУВСТВОВАТЬ (ИСПЫТЫВАТЬ ЭМОЦИИ)
БОДРИТЬСЯ	148270-V	ПРИЛИВ МЫСЛЕЙ, ЧУВСТВ
БОДРИТЬСЯ	113119-V	ОБМАНУТЬ, ВВЕСТИ В ЗАБЛУЖДЕНИЕ
БУРЕТЬ	106629-V	ИЗМЕНИТЬСЯ, ИЗМЕНЕНИЕ
БУРЕТЬ	110416-V	ИЗМЕНЯТЬСЯ В ЦВЕТЕ
БУРЕТЬ	113780-V	ПОКРЫТЬСЯ НА ПОВЕРХНОСТИ
БУРЕТЬ	111001-V	ВИДНЕТЬСЯ
БУРЕТЬ	125595-V	ТЕМНЕТЬ (ПОГРУЖАТЬСЯ ВО ТЬМУ)
БУРЕТЬ	106633-V	УХУДШЕНИЕ
БУРЕТЬ	110483-V	ЗЕЛЕНЕТЬ, СТАНОВИТЬСЯ ЗЕЛЕНЫМ
БУРЕТЬ	130453-V	ГИБЕЛЬ (ПРЕКРАЩЕНИЕ СУЩЕСТВОВАНИЯ)
БУРЕТЬ	115269-V	СОХНУТЬ, СТАНОВИТЬСЯ СУХИМ
БУРЕТЬ	106646-V	ОТНОШЕНИЕ МЕЖДУ СУЩНОСТЯМИ
ВБУХИВАТЬ	111022-V	БРОСИТЬ (ПЕРЕМЕСТИТЬ)
ВБУХИВАТЬ	106504-V	ПОСТУПОК ЧЕЛОВЕКА
ВБУХИВАТЬ	106915-V	ОЩУЩАТЬ, ВОСПРИНИМАТЬ
ВБУХИВАТЬ	106802-V	ИЗБАВИТЬСЯ
ВБУХИВАТЬ	116921-V	ПЕРЕЖИТЬ, ИСПЫТАТЬ
ВБУХИВАТЬ	106587-V	ДВИЖЕНИЕ, ПЕРЕМЕЩЕНИЕ
ВБУХИВАТЬ	106698-V	ПОМЕСТИТЬ, НАЙТИ МЕСТО
ВБУХИВАТЬ	107404-V	УДАРИТЬ, НАНЕСТИ УДАР
ВБУХИВАТЬ	107093-V	ИЗДАТЬ ЗВУК
ВБУХИВАТЬ	117948-V	УДАРИТЬ (РАЗДАТЬСЯ О РЕЗКОМ ЗВУКЕ)
ВЕРЕЩАТЬ	107093-V	ИЗДАТЬ ЗВУК
ВЕРЕЩАТЬ	107094-V	ПРОИЗНЕСТИ, ВЫГОВОРИТЬ, ПРОГОВОРИТЬ
ВЕРЕЩАТЬ	114103-V	ИЗДАВАТЬ, ИСПУСКАТЬ
ВЕРЕЩАТЬ	107104-V	КРИЧАТЬ, ИЗДАВАТЬ КРИК
ВЕРЕЩАТЬ	106876-V	ВЫСКАЗАТЬ
ВЕРЕЩАТЬ	107196-V	ПЛАКАТЬ, ПРОЛИВАТЬ СЛЕЗЫ
ВЕРЕЩАТЬ	107252-V	ВЫТЬ
ВЕРЕЩАТЬ	107366-V	ВИЗЖАТЬ
ВЕРЕЩАТЬ	118140-V	БОЛТАТЬ, ЧЕСАТЬ ЯЗЫКОМ
ВЕРЕЩАТЬ	110719-V	ЛИТЬ ЖИДКОСТЬ
ВЗЪЕРОШИТЬ	123814-V	РАЗЗВОНИТЬ, РАСТРУБИТЬ
ВЗЪЕРОШИТЬ	118138-V	ПРОГОВОРИТЬСЯ
ВЗЪЕРОШИТЬ	117735-V	МОРЩИТЬ ЛИЦО
ВЗЪЕРОШИТЬ	106887-V	РАССКАЗАТЬ
ВЗЪЕРОШИТЬ	1885-V	РАСПРОСТРАНЕНИЕ ИНФОРМАЦИИ
ВЗЪЕРОШИТЬ	107094-V	ПРОИЗНЕСТИ, ВЫГОВОРИТЬ, ПРОГОВОРИТЬ
ВЗЪЕРОШИТЬ	120087-V	РАСКРЫТИЕ ИНФОРМАЦИИ
ВЗЪЕРОШИТЬ	116921-V	ПЕРЕЖИТЬ, ИСПЫТАТЬ
ВЗЪЕРОШИТЬ	118191-V	РАЗРОВНЯТЬ
ВЗЪЕРОШИТЬ	117094-V	ШЕВЕЛИТЬ ЧАСТЬЮ ТЕЛА
ВКРУТИТЬ	111047-V	ВЕРТЕТЬ, ВРАЩАТЬ
ВКРУТИТЬ	110790-V	ПРИКРЕПИТЬ, ПРИДЕЛАТЬ
ВКРУТИТЬ	106888-V	ПОВЕРНУТЬ, ИЗМЕНИТЬ ПОЛОЖЕНИЕ
ВКРУТИТЬ	111596-V	ДВИГАТЬ (ПЕРЕМЕЩАТЬ)
ВКРУТИТЬ	115727-V	КРУТИТЬ (ВЕРТЕТЬ КРУГООБРАЗНО)
ВКРУТИТЬ	107417-V	ОТДЕЛИТЬ ЧАСТЬ ОТ ЦЕЛОГО
ВКРУТИТЬ	111668-V	ПРИСОЕДИНИТЬ
ВКРУТИТЬ	106493-V	СОЗДАТЬ (СДЕЛАТЬ СУЩЕСТВУЮЩИМ)
ВКРУТИТЬ	116418-V	ЗАВЯЗАТЬ (ЗАКРЕПИТЬ)
ВКРУТИТЬ	116164-V	ОТЖАТЬ, ВЫЖАТЬ
ВПАЯТЬ	106646-V	ОТНОШЕНИЕ МЕЖДУ СУЩНОСТЯМИ
ВПАЯТЬ	128395-V	ЗАВИСИМОСТЬ (ОТНОШЕНИЕ)
ВПАЯТЬ	116488-V	ВЗЫСКАНИЕ ДЕНЕЖНЫХ СРЕДСТВ
ВПАЯТЬ	149104-V	НАЛОЖИТЬ ВЗЫСКАНИЕ
ВПАЯТЬ	110790-V	ПРИКРЕПИТЬ, ПРИДЕЛАТЬ
ВПАЯТЬ	106817-V	ПРИНУДИТЬ, ЗАСТАВИТЬ
ВПАЯТЬ	111944-V	НАЗНАЧИТЬ, УСТАНОВИТЬ, ОПРЕДЕЛИТЬ
ВПАЯТЬ	107707-V	СКРЕПИТЬ (ПРОЧНО СОЕДИНИТЬ)
ВПАЯТЬ	116821-V	ОБЛОЖИТЬ, ОБЯЗАТЬ К ОПЛАТЕ
ВПАЯТЬ	112935-V	НАКАЗАТЬ (ВОЗДЕЙСТВОВАТЬ)
ВПРАВИТЬ	145757-V	НАПРАВИТЬ ДЕЯТЕЛЬНОСТЬ
ВПРАВИТЬ	107123-V	СОВЕТОВАТЬ
ВПРАВИТЬ	116198-V	УКАЗАТЬ (ДАТЬ ЗНАТЬ)
ВПРАВИТЬ	106877-V	ВЫСКАЗАТЬ МНЕНИЕ
ВПРАВИТЬ	113825-V	ВЫПРЯМИТЬ, РАСПРЯМИТЬ
ВПРАВИТЬ	111360-V	УСТРАНИТЬ (УНИЧТОЖИТЬ)
ВПРАВИТЬ	111362-V	ИСПРАВИТЬ (УЛУЧШИТЬ)
ВПРАВИТЬ	111361-V	ИСПРАВИТЬ НЕДОСТАТКИ, ОШИБКИ
ВПРАВИТЬ	111191-V	ВСТАВИТЬ ВНУТРЬ
ВПРАВИТЬ	106632-V	УЛУЧШИТЬ
ВРЫТЬ	111085-V	ОПУСТИТЬСЯ ВНИЗ
ВРЫТЬ	106772-V	УГЛУБИТЬ, УВЕЛИЧИТЬ ГЛУБИНУ (РАССТОЯНИЕ)
ВРЫТЬ	112004-V	РАЗБРОСАТЬ, РАСШВЫРЯТЬ
ВРЫТЬ	106587-V	ДВИЖЕНИЕ, ПЕРЕМЕЩЕНИЕ
ВРЫТЬ	111791-V	КОПАТЬ ЯМУ
ВРЫТЬ	110916-V	ИЗВЛЕЧЬ, ДОСТАТЬ
ВРЫТЬ	106640-V	УВЕЛИЧИТЬ
ВРЫТЬ	111022-V	БРОСИТЬ (ПЕРЕМЕСТИТЬ)
ВРЫТЬ	106698-V	ПОМЕСТИТЬ, НАЙТИ МЕСТО
ВРЫТЬ	120189-V	УКРЕПИТЬСЯ (РАСПОЛОЖИТЬСЯ ПОСТРОИВ ОБОР.СООРУЖ.)
ВСКРУЖИТЬ	145703-V	ДЕЛАТЬ КРУГ (ПЕРЕМЕЩАТЬСЯ)
ВСКРУЖИТЬ	106587-V	ДВИЖЕНИЕ, ПЕРЕМЕЩЕНИЕ
ВСКРУЖИТЬ	107445-V	ЛЕТЕТЬ (ПЕРЕДВИГАТЬСЯ)
ВСКРУЖИТЬ	111596-V	ДВИГАТЬ (ПЕРЕМЕЩАТЬ)
ВСКРУЖИТЬ	155113-V	УХУДШЕНИЕ САМОЧУВСТВИЯ
ВСКРУЖИТЬ	106565-V	САМОЧУВСТВИЕ
ВСКРУЖИТЬ	117320-V	УТОМИТЬСЯ, УСТАТЬ
ВСКРУЖИТЬ	113119-V	ОБМАНУТЬ, ВВЕСТИ В ЗАБЛУЖДЕНИЕ
ВСКРУЖИТЬ	116921-V	ПЕРЕЖИТЬ, ИСПЫТАТЬ
ВСКРУЖИТЬ	120955-V	ИЗМЕНЕНИЕ СОСТОЯНИЯ
ВСХЛИПЫВАТЬ	107093-V	ИЗДАТЬ ЗВУК
ВСХЛИПЫВАТЬ	110719-V	ЛИТЬ ЖИДКОСТЬ
ВСХЛИПЫВАТЬ	120904-V	ВЫСТУПИТЬ НАРУЖУ
ВСХЛИПЫВАТЬ	107196-V	ПЛАКАТЬ, ПРОЛИВАТЬ СЛЕЗЫ
ВСХЛИПЫВАТЬ	114103-V	ИЗДАВАТЬ, ИСПУСКАТЬ
ВСХЛИПЫВАТЬ	107094-V	ПРОИЗНЕСТИ, ВЫГОВОРИТЬ, ПРОГОВОРИТЬ
ВСХЛИПЫВАТЬ	116102-V	НАДОЕСТЬ
ВСХЛИПЫВАТЬ	115752-V	ЖАЛОВАТЬСЯ (ВЫСКАЗЫВАТЬ НЕУДОВОЛЬСТВИЕ)
ВСХЛИПЫВАТЬ	106876-V	ВЫСКАЗАТЬ
ВСХЛИПЫВАТЬ	106938-V	ПЕРЕМЕСТИТЬ
ВШИВАТЬ	113291-V	СШИВАТЬ
ВШИВАТЬ	106557-V	СОЕДИНИТЬ В ОДНО ЦЕЛОЕ
ВШИВАТЬ	110795-V	ПРИШИТЬ (ПРИКРЕПИТЬ)
ВШИВАТЬ	110790-V	ПРИКРЕПИТЬ, ПРИДЕЛАТЬ
ВШИВАТЬ	111568-V	ЗАДЕЛАТЬ ОТВЕРСТИЕ
ВШИВАТЬ	106493-V	СОЗДАТЬ (СДЕЛАТЬ СУЩЕСТВУЮЩИМ)
ВШИВАТЬ	106495-V	ИЗГОТОВИТЬ, ВЫРАБОТАТЬ
ВШИВАТЬ	111572-V	ЗАКРЫТЬ ОТВЕРСТИЕ, ПРОХОД
ВШИВАТЬ	111375-V	ПОЧИНКА НЕИСПРАВНОГО
ВШИВАТЬ	107707-V	СКРЕПИТЬ (ПРОЧНО СОЕДИНИТЬ)
ВЫКЛЕВАТЬ	106934-V	ЕСТЬ, ПРИНИМАТЬ ПИЩУ
ВЫКЛЕВАТЬ	107404-V	УДАРИТЬ, НАНЕСТИ УДАР
ВЫКЛЕВАТЬ	115010-V	РОДИТЬСЯ НА СВЕТ
ВЫКЛЕВАТЬ	106933-V	ГЛОТАТЬ ВНУТРЬ СЕБЯ
ВЫКЛЕВАТЬ	115102-V	МУЧИТЬ
ВЫКЛЕВАТЬ	112339-V	ПРИДРАТЬСЯ
ВЫКЛЕВАТЬ	115593-V	ХВАТАТЬ, СХВАТИТЬ
ВЫКЛЕВАТЬ	110911-V	ВЫРВАТЬ, ВЫДРАТЬ
ВЫКЛЕВАТЬ	111963-V	КАСАТЬСЯ, ДОТРАГИВАТЬСЯ
ВЫКЛЕВАТЬ	111853-V	ПРОДЕЛАТЬ ОТВЕРСТИЕ
ВЫПЛАКАТЬ	110719-V	ЛИТЬ ЖИДКОСТЬ
ВЫПЛАКАТЬ	120904-V	ВЫСТУПИТЬ НАРУЖУ
ВЫПЛАКАТЬ	107196-V	ПЛАКАТЬ, ПРОЛИВАТЬ СЛЕЗЫ
ВЫПЛАКАТЬ	106938-V	ПЕРЕМЕСТИТЬ
ВЫПЛАКАТЬ	111329-V	ПОЯВИТЬСЯ, ПОКАЗАТЬСЯ
ВЫПЛАКАТЬ	120905-V	ВЫЙТИ (ПОКАЗАТЬСЯ, ПОЯВИТЬСЯ)
ВЫПЛАКАТЬ	116921-V	ПЕРЕЖИТЬ, ИСПЫТАТЬ
ВЫПЛАКАТЬ	116102-V	НАДОЕСТЬ
ВЫПЛАКАТЬ	115752-V	ЖАЛОВАТЬСЯ (ВЫСКАЗЫВАТЬ НЕУДОВОЛЬСТВИЕ)
ВЫПЛАКАТЬ	106876-V	ВЫСКАЗАТЬ
ВЫСПРАШИВАТЬ	106876-V	ВЫСКАЗАТЬ
ВЫСПРАШИВАТЬ	116816-V	ОБРАТИТЬСЯ СО СЛОВАМИ
ВЫСПРАШИВАТЬ	106709-V	УЗНАТЬ, ПОЛУЧИТЬ СВЕДЕНИЯ
ВЫСПРАШИВАТЬ	107256-V	СПРОСИТЬ, ЗАДАТЬ ВОПРОС
ВЫСПРАШИВАТЬ	150471-V	ЗАКИДАТЬ (ОБРАТИТЬСЯ)
ВЫСПРАШИВАТЬ	116303-V	ПОЛУЧИТЬ В РАСПОРЯЖЕНИЕ
ВЫСПРАШИВАТЬ	118698-V	ДЕЙСТВИЕ, ЦЕЛЕНАПРАВЛЕННОЕ ДЕЙСТВИЕ
ВЫСПРАШИВАТЬ	129792-V	ВОЗЛОЖИТЬ ОТВЕТСТВЕННОСТЬ
ВЫСПРАШИВАТЬ	116932-V	СПРАВИТЬСЯ, ОСВЕДОМИТЬСЯ
ВЫСПРАШИВАТЬ	106457-V	ПОКАЗАТЬ, СДЕЛАТЬ ЯВНЫМ, ВИДИМЫМ
ВЫТАПТЫВАТЬ	111192-V	ДАВИТЬ, ЖАТЬ
ВЫТАПТЫВАТЬ	107013-V	ГРЯЗНИТЬ, ПАЧКАТЬ
ВЫТАПТЫВАТЬ	106483-V	УНИЧТОЖИТЬ, ПРЕКРАТИТЬ СУЩЕСТВОВАНИЕ
ВЫТАПТЫВАТЬ	111881-V	НАНЕСЕНИЕ НА ПОВЕРХНОСТЬ
ВЫТАПТЫВАТЬ	116661-V	ВДАВИТЬ ВНУТРЬ
ВЫТАПТЫВАТЬ	140829-V	СБИТЬСЯ (ПОВРЕДИТЬСЯ)
ВЫТАПТЫВАТЬ	116360-V	ИЗНОСИТЬСЯ ОТ УПОТРЕБЛЕНИЯ
ВЫТАПТЫВАТЬ	129004-V	ИСКРИВИТЬ (ИЗОГНУТЬ)
ВЫТАПТЫВАТЬ	120791-V	ДАВИТЬ, ЗАДАВИТЬ
ВЫТАПТЫВАТЬ	111369-V	ПОРТИТЬ, ДЕЛАТЬ ПЛОХИМ
ВЫЧЕРПЫВАТЬ	110916-V	ИЗВЛЕЧЬ, ДОСТАТЬ
ВЫЧЕРПЫВАТЬ	110910-V	ВЫНУТЬ
ВЫЧЕРПЫВАТЬ	115594-V	БРАТЬ РУКОЙ, ЗУБАМИ, ОРУДИЕМ
ВЫЧЕРПЫВАТЬ	110908-V	УДАЛИТЬ НАРУЖУ
ВЫЧЕРПЫВАТЬ	150231-V	ВЫБРОСИТЬ ИЗ СЕБЯ
ВЫЧЕРПЫВАТЬ	154208-V	ВЫНЕСТИ СТИХИЕЙ
ВЫЧЕРПЫВАТЬ	118403-V	УСВОИТЬ (СДЕЛАТЬ ПРИВЫЧНЫМ ДЛЯ СЕБЯ)
ВЫЧЕРПЫВАТЬ	116296-V	ВЗЯТЬ В СВОЕ РАСПОРЯЖЕНИЕ
ВЫЧЕРПЫВАТЬ	112044-V	ПОДРАЖАТЬ
ВЫЧЕРПЫВАТЬ	110752-V	ОПОРОЖНИТЬ
ВЯЛИТЬ	109109-V	ПРИГОТОВЛЕНИЕ ПИЩИ
ВЯЛИТЬ	111101-V	НАГРЕТЬСЯ
ВЯЛИТЬ	111554-V	ЗАПАСТИ, ЗАГОТОВИТЬ
ВЯЛИТЬ	106534-V	ОБРАБАТЫВАТЬ, ПОДВЕРГАТЬ ОБРАБОТКЕ
ВЯЛИТЬ	106629-V	ИЗМЕНИТЬСЯ, ИЗМЕНЕНИЕ
ВЯЛИТЬ	111540-V	КЛАСТЬ ВНУТРЬ
ВЯЛИТЬ	111658-V	ПОСЫПАТЬ (ПОКРЫТЬ СЫПУЧИМ)
ВЯЛИТЬ	107325-V	ПОКРЫТЬ ПОВЕРХНОСТЬ
ВЯЛИТЬ	5731-V	КОНСЕРВИРОВАНИЕ ПИЩЕВЫХ ПРОДУКТОВ
ВЯЛИТЬ	116549-V	КОПИТЬ, НАКАПЛИВАТЬ
ГАТИТЬ	106501-V	ЗАНЯТИЕ, ДЕЯТЕЛЬНОСТЬ
ГАТИТЬ	106493-V	СОЗДАТЬ (СДЕЛАТЬ СУЩЕСТВУЮЩИМ)
ГАТИТЬ	115672-V	ДОСТАВИТЬ К МЕСТУ НАЗНАЧЕНИЯ
ГАТИТЬ	115674-V	ПРИВЕЗТИ
ГАТИТЬ	107008-V	ПОСЛАТЬ, ОТПРАВИТЬ ДЛЯ ДОСТАВКИ
ГАТИТЬ	106819-V	СОКРАТИТЬ, УМЕНЬШИТЬ В КОЛИЧЕСТВЕ
ГАТИТЬ	107417-V	ОТДЕЛИТЬ ЧАСТЬ ОТ ЦЕЛОГО
ГАТИТЬ	116051-V	ОТБАВИТЬ
ГАТИТЬ	111998-V	СНЯТЬ (ОТДЕЛИТЬ, ДОСТАТЬ)
ГАТИТЬ	106710-V	ОПРЕДЕЛИТЬ, ВЫЯСНИТЬ
ГИПЕРТРОФИРОВАТЬ	141697-V	ПРЕДСТАВИТЬ В ВИДЕ
ГИПЕРТРОФИРОВАТЬ	116390-V	ИСКАЗИТЬ, ПРЕДСТАВИТЬ В ЛОЖНОМ СВЕТЕ
ГИПЕРТРОФИРОВАТЬ	106629-V	ИЗМЕНИТЬСЯ, ИЗМЕНЕНИЕ
ГИПЕРТРОФИРОВАТЬ	118698-V	ДЕЙСТВИЕ, ЦЕЛЕНАПРАВЛЕННОЕ ДЕЙСТВИЕ
ГИПЕРТРОФИРОВАТЬ	106710-V	ОПРЕДЕЛИТЬ, ВЫЯСНИТЬ
ГИПЕРТРОФИРОВАТЬ	106633-V	УХУДШЕНИЕ
ГИПЕРТРОФИРОВАТЬ	116789-V	СРАВНЯТЬ (СДЕЛАТЬ РАВНЫМ)
ГИПЕРТРОФИРОВАТЬ	5390-V	ХИРУРГИЧЕСКАЯ ОПЕРАЦИЯ
ГИПЕРТРОФИРОВАТЬ	116115-V	ПРЕУВЕЛИЧИТЬ
ГИПЕРТРОФИРОВАТЬ	110242-V	ПОВЕДЕНИЕ
ГРУБЕТЬ	106629-V	ИЗМЕНИТЬСЯ, ИЗМЕНЕНИЕ
